Reg nr,Jrk nr (A),Jrk nr (B)
821,1,3
921,2,1
784,3,4
811,4,5
880,5,6
796,6,7
946,7,2
650,10,32
936,11,42
871,12,61
612,13,27
571,14,23
659,15,10
785,16,46
890,17,65
839,18,58
797,19,48
561,20,22
980,21,43
755,22,17
901,23,68
321,24,34
900,25,67
572,26,24
812,27,51
446,28,71
799,29,50
714,30,15
640,31,30
589,32,25
765,33,18
546,34,21
798,35,49
746,36,16
696,38,13
597,39,26
362,40,35
641,41,31
371,42,36
621,43,28
686,44,12
912,45,38
863,46,60
872,47,62
421,48,70
535,49,20
822,50,53
630,51,29
464,52,72
488,53,73
697,54,14
671,55,11
516,56,75
881,57,63
775,58,19
923,59,39
1025,60,45
929,61,41
882,62,64
1016,63,44
409,64,69
652,65,33
854,67,59
788,68,47
506,69,74
824,70,54
814,71,52
826,72,56
825,73,55
827,74,57
925,75,40
