Jrk nr,Kvoot,Võrdlusarv,Ringkond,Nimekiri,Hääli kokku,Reg nr,Kandidaadi nimi,Mandaatide omandamise viis
76,"0,3584","4133,1936",6,IE,2 027,347,ÜLLAR SAAREMÄE,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
77,"0,2651","4380,3781",3,IE,1 693,311,RAIVO TAMM,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
78,"0,1552","3913,7196",4,IE,1 024,324,HEIKI HEPNER,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
79,"0,1431","6937,0604",5,IE,855,339,MART MAASTIK,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
80,"0,1296","2765,9716",12,IE,812,402,LAURI LUUR,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
81,"0,0887","2869,4827",9,IE,594,372,JUHANI JAEGER,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
82,"0,2647","1877,5272",11,SDE,1 469,515,IVARI PADAR,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
83,"0,2271","4197,0910",1,SDE,1 399,411,NATALIE METS,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
84,"0,2372","3653,3921",2,SDE,1 365,422,MADLE LIPPUS,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
85,"0,4378","5044,8469",9,EKRE,2 933,622,PEETER ERNITS,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
86,"0,2836","7266,5810",2,EKRE,1 632,547,EEVA HELME,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
87,"0,2467","6921,4508",1,EKRE,1 520,534,URMAS REITELMANN,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
88,"0,3032","1953,6148",4,EE200,2 001,713,JOAKIM JOHAN HELENIUS,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
89,"0,3180","6707,1412",8,EE200,1 785,737,ANDO KIVIBERG,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
90,"0,2230","4188,1097",10,EE200,1 368,756,TANEL TEIN,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
91,"0,2006","3927,2381",3,EE200,1 281,688,JUKU-KALLE RAID,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
92,"0,3489","6891,9451",5,REF,2 085,840,URVE TIIDUS,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
93,"0,2520","6198,7560",9,REF,1 688,874,TOOMAS JÄRVEOJA,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
94,"0,2031","6740,4724",2,REF,1 169,800,VALDO RANDPERE,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
95,"0,1766","4060,6593",12,REF,1 107,907,LAURA KIVISELG,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
96,"0,2487","6291,3011",9,KESK,1 666,996,TAAVI AAS,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
97,"0,2733","3902,4419",11,KESK,1 517,1015,ERKI SAVISAAR,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
98,"0,2333","3616,4788",3,KESK,1 490,938,ARKADI POPOV,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
99,"0,2529","4802,1982",6,KESK,1 430,972,SIRET KOTKA,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
100,"0,2854","3449,1281",7,KESK,1 405,982,ALEKSEI JEVGRAFOV,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
101,"0,2267","6588,5406",11,KESK,1 258,1017,TARMO TAMM,"Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: puhas d’Hondt, listitu)"
