Jrk nr;Kvoot;Võrdlusarv;Ringkond;Nimekiri;Hääli kokku;Reg nr;Kandidaadi nimi;Mandaatide omandamise viis
1;4,8212;;4;REF;31 816;821;KAJA KALLAS;Ringkondades lihtkvoodi alusel jaotatud isikumandaadid
2;2,5356;;2;KESK;14 592;921;MIHHAIL KÕLVART;Ringkondades lihtkvoodi alusel jaotatud isikumandaadid
3;1,4955;;1;REF;9 214;784;KRISTEN MICHAL;Ringkondades lihtkvoodi alusel jaotatud isikumandaadid
4;1,4336;;3;REF;9 154;811;URMAS PAET;Ringkondades lihtkvoodi alusel jaotatud isikumandaadid
5;1,3149;;10;REF;8 065;880;URMAS KLAAS;Ringkondades lihtkvoodi alusel jaotatud isikumandaadid
6;1,2847;;2;REF;7 393;796;SIIM KALLAS;Ringkondades lihtkvoodi alusel jaotatud isikumandaadid
7;1,1626;;4;KESK;7 672;946;JÜRI RATAS;Ringkondades lihtkvoodi alusel jaotatud isikumandaadid
8;1,1612;;6;REF;6 567;847;HANNO PEVKUR;Ringkondades lihtkvoodi alusel jaotatud isikumandaadid
9;1,0326;;8;REF;5 797;862;JÜRGEN LIGI;Ringkondades lihtkvoodi alusel jaotatud isikumandaadid
10;0,9781;;12;EKRE;6 130;650;MART HELME;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
11;0,9371;;3;KESK;5 984;936;LAURI LAATS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
12;0,9308;;9;REF;6 235;871;URMAS KRUUSE;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
13;0,9302;;8;EKRE;5 222;612;JAAK MADISON;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
14;0,876;;4;EKRE;5 781;571;HENN PÕLLUAAS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
15;0,8523;;1;EE200;5 251;659;JOHANNA-MARIA LEHTME;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
16;0,7341;;1;REF;4 523;785;SIGNE RIISALO;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
17;0,7338;;11;REF;4 073;890;LIINA KERSNA;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
18;0,7274;;5;REF;4 347;839;KALLE LAANET;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
19;0,723;;2;REF;4 161;797;HEIDY PURGA;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
20;0,7213;;3;EKRE;4 606;561;MARTIN HELME;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
21;0,7021;;7;KESK;3 457;980;YANA TOOM;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
22;0,6991;;10;EE200;4 288;755;KRISTINA KALLAS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
23;0,699;;12;REF;4 381;901;ANNELY AKKERMANN;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
24;0,6833;;4;IE;4 509;321;URMAS REINSALU;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
25;0,654;;12;REF;4 099;900;TOOMAS KIVIMÄGI;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
26;0,6399;;4;EKRE;4 223;572;SIIM POHLAK;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
27;0,6397;;3;REF;4 085;812;MARIS LAURI;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
28;0,6281;;4;SDE;4 145;446;MARINA KALJURAND;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
29;0,6197;;2;REF;3 566;799;KARMEN JOLLER;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
30;0,6131;;5;EE200;3 664;714;GRIGORE-KALEV STOICESCU;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
31;0,6064;;11;EKRE;3 366;640;RAIN EPLER;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
32;0,5905;;5;EKRE;3 529;589;HELLE-MOONIKA HELME;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
33;0,5901;;11;EE200;3 275;765;IGOR TARO;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
34;0,5891;;2;EKRE;3 390;546;LEO KUNNAS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
35;0,576;;2;REF;3 315;798;ANDRES SUTT;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
36;0,5259;;9;EE200;3 523;746;IRJA LUTSAR;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
37;0,5244;;1;KESK;3 231;910;VADIM BELOBROVTSEV;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
38;0,5066;;4;EE200;3 343;696;LAURI HUSSAR;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
39;0,5006;;6;EKRE;2 831;597;ANTI POOLAMETS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
40;0,479;;8;IE;2 689;362;HELIR-VALDOR SEEDER;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
41;0,4719;;11;EKRE;2 619;641;ANTS FROSCH;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
42;0,4681;;9;IE;3 136;371;AIVAR KOKK;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
43;0,462;;9;EKRE;3 095;621;KERT KINGO;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
44;0,4576;;3;EE200;2 922;686;MARGUS TSAHKNA;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
45;0,4554;;1;KESK;2 806;912;ANASTASSIA KOVALENKO-KÕLVART;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
46;0,445;;8;REF;2 498;863;PIPI-LIIS SIEMANN;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
47;0,4387;;9;REF;2 939;872;LUISA RÕIVAS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
48;0,4235;;2;SDE;2 437;421;JEVGENI OSSINOVSKI;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
49;0,4072;;1;EKRE;2 509;535;VARRO VOOGLAID;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
50;0,4001;;4;REF;2 640;822;MARKO MIHKELSON;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
51;0,3815;;10;EKRE;2 340;630;JAAK VALGE;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
52;0,3772;;5;SDE;2 254;464;MADIS KALLAS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
53;0,3737;;8;SDE;2 098;488;HELMEN KÜTT;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
54;0,3667;;4;EE200;2 420;697;TOOMAS UIBO;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
55;0,3632;;2;EE200;2 090;671;MAREK REINAAS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
56;0,3549;;11;SDE;1 970;516;ANTI ALLAS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
57;0,3344;;10;REF;2 051;881;YOKO ALENDER;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
58;0,3338;;12;EE200;2 092;775;KADRI TALI;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
59;0,3244;;2;KESK;1 867;923;VLADIMIR SVET;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
60;0,3148;;12;KESK;1 973;1025;ANDREI KOROBEINIK;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
61;0,3143;;2;KESK;1 809;929;ALEKSANDR TŠAPLÕGIN;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
62;0,3047;;10;REF;1 869;882;ANTS LAANEOTS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
63;0,3021;;11;KESK;1 677;1016;ESTER KARUSE;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
