Mõõtepunkti kood;N/A;
Mõõtepunkti aadress;N/A;
;;
;;
Periood;Tarbitud energia (võrgust) / kWh;Börsihind senti/kWh (käibemaksuta)
01.01.2024 00:00;2,238;4,001
01.01.2024 01:00;2,188;3,837
01.01.2024 02:00;2,156;2,846
01.01.2024 03:00;1,997;2,666
01.01.2024 04:00;2,279;2,448
01.01.2024 05:00;1,994;2,401
01.01.2024 06:00;2,033;2,123
01.01.2024 07:00;1,828;2,262
01.01.2024 08:00;1,994;2,504
01.01.2024 09:00;1,981;2,624
01.01.2024 10:00;1,943;3,221
01.01.2024 11:00;2,428;4,134
01.01.2024 12:00;2,541;4,351
01.01.2024 13:00;2,147;5,864
01.01.2024 14:00;2,252;6,114
01.01.2024 15:00;4,302;6,034
01.01.2024 16:00;4,576;7,756
01.01.2024 17:00;3,597;6,84
01.01.2024 18:00;4,137;7,416
01.01.2024 19:00;6,856;6,501
01.01.2024 20:00;3,824;5,591
01.01.2024 21:00;3,373;4,815
01.01.2024 22:00;3,504;6,494
01.01.2024 23:00;2,785;5,36
02.01.2024 00:00;2,888;4,399
02.01.2024 01:00;3,637;5,55
02.01.2024 02:00;3,297;4,994
02.01.2024 03:00;3,28;4,726
02.01.2024 04:00;3,401;5,35
02.01.2024 05:00;2,882;7,648
02.01.2024 06:00;2,751;18,005
02.01.2024 07:00;3,932;25,001
02.01.2024 08:00;3,697;48,308
02.01.2024 09:00;5,328;30,007
02.01.2024 10:00;3,334;25,001
02.01.2024 11:00;2,98;24,194
02.01.2024 12:00;2,451;15,947
02.01.2024 13:00;4,149;14,999
02.01.2024 14:00;3,683;14,999
02.01.2024 15:00;2,471;16,58
02.01.2024 16:00;3,54;25,002
02.01.2024 17:00;2,855;22,621
02.01.2024 18:00;3,426;19,69
02.01.2024 19:00;4,603;25,001
02.01.2024 20:00;4,333;19,691
02.01.2024 21:00;4,025;10,57
02.01.2024 22:00;4,097;14,952
02.01.2024 23:00;3,975;9,038
03.01.2024 00:00;3,337;8,669
03.01.2024 01:00;3,454;4,908
03.01.2024 02:00;2,947;5,676
03.01.2024 03:00;3,584;5,611
03.01.2024 04:00;2,98;5,796
03.01.2024 05:00;3,383;7,017
03.01.2024 06:00;3,445;8,67
03.01.2024 07:00;3,485;11,879
03.01.2024 08:00;4,347;13,151
03.01.2024 09:00;4,483;13,295
03.01.2024 10:00;2,987;12,881
03.01.2024 11:00;3,021;9,893
03.01.2024 12:00;3,602;12,991
03.01.2024 13:00;2,844;11,879
03.01.2024 14:00;3,455;9,705
03.01.2024 15:00;4,292;9,619
03.01.2024 16:00;4,663;11,902
03.01.2024 17:00;4,285;12,991
03.01.2024 18:00;3,731;14,762
03.01.2024 19:00;3,635;11,88
03.01.2024 20:00;7,019;9,912
03.01.2024 21:00;3,513;8,582
03.01.2024 22:00;3,014;9,995
03.01.2024 23:00;3,927;8,697
04.01.2024 00:00;3,201;5,84
04.01.2024 01:00;3,307;12,925
04.01.2024 02:00;3,937;10,634
04.01.2024 03:00;3,239;9,442
04.01.2024 04:00;2,699;9,779
04.01.2024 05:00;3,302;12,144
04.01.2024 06:00;2,855;18,021
04.01.2024 07:00;3,743;14,811
04.01.2024 08:00;3,216;37,925
04.01.2024 09:00;4,281;29,999
04.01.2024 10:00;2,849;30
04.01.2024 11:00;2,945;30,007
04.01.2024 12:00;2,373;30
04.01.2024 13:00;2,625;29,999
04.01.2024 14:00;2,596;29,618
04.01.2024 15:00;3,624;29,999
04.01.2024 16:00;3,583;36,214
04.01.2024 17:00;3,003;30
04.01.2024 18:00;2,969;29,999
04.01.2024 19:00;3,545;24,996
04.01.2024 20:00;6,051;20,372
04.01.2024 21:00;5,477;14,999
04.01.2024 22:00;3,634;15
04.01.2024 23:00;2,957;14,309
05.01.2024 00:00;2,289;11,111
05.01.2024 01:00;2,323;16,999
05.01.2024 02:00;2,483;15,007
05.01.2024 03:00;2,44;15,006
05.01.2024 04:00;2,343;15,007
05.01.2024 05:00;2,471;15,009
05.01.2024 06:00;2,304;35
05.01.2024 07:00;2,099;99,994
05.01.2024 08:00;2,071;147,891
05.01.2024 09:00;2,62;125,167
05.01.2024 10:00;2,673;100
05.01.2024 11:00;2,103;99,998
05.01.2024 12:00;2,495;80
05.01.2024 13:00;2,368;99,991
05.01.2024 14:00;3,101;89,906
05.01.2024 15:00;2,328;99,997
05.01.2024 16:00;2,421;169,631
05.01.2024 17:00;3,689;175,8
05.01.2024 18:00;2,933;147,895
05.01.2024 19:00;3,161;189,6
05.01.2024 20:00;5,023;175,4
05.01.2024 21:00;5,824;99,009
05.01.2024 22:00;3,118;74,995
05.01.2024 23:00;2,629;30,001
06.01.2024 00:00;3,649;20
06.01.2024 01:00;2,475;11,119
06.01.2024 02:00;2,954;11,398
06.01.2024 03:00;2,432;11,062
06.01.2024 04:00;3,395;11,351
06.01.2024 05:00;3,013;14,169
06.01.2024 06:00;2,417;15,685
06.01.2024 07:00;2,506;13,292
06.01.2024 08:00;2,398;14,775
06.01.2024 09:00;2,972;18,187
